accuracy: [0.8515830039978027, 0.9208509922027588, 0.9275055527687073, 0.9329501986503601, 0.9364791512489319, 0.9408146739006042, 0.940411388874054, 0.9431337118148804, 0.9411171674728394, 0.9472675919532776, 0.9468643069267273, 0.944343626499176, 0.9485783576965332]
auc_3: [0.9106358885765076, 0.9548271298408508, 0.9605140089988708, 0.9679238796234131, 0.9698435068130493, 0.973398745059967, 0.9722408056259155, 0.972576916217804, 0.9736700654029846, 0.976268470287323, 0.977392852306366, 0.9771234393119812, 0.9769420027732849]
loss: [0.33418017625808716, 0.21746790409088135, 0.2014429271221161, 0.18060755729675293, 0.17468686401844025, 0.1640971451997757, 0.16644251346588135, 0.16176392138004303, 0.15796464681625366, 0.15304233133792877, 0.14746245741844177, 0.15158501267433167, 0.14685630798339844]
precision_3: [0.8716108202934265, 0.9304758906364441, 0.934573233127594, 0.9391647577285767, 0.9453588128089905, 0.9537801146507263, 0.9540191888809204, 0.9571239948272705, 0.9602006673812866, 0.9609963893890381, 0.9573428630828857, 0.9554973840713501, 0.9581711888313293]
recall_3: [0.6552757620811462, 0.826438844203949, 0.8435251712799072, 0.8561151027679443, 0.8609112501144409, 0.8660072088241577, 0.8645083904266357, 0.869904100894928, 0.8606114983558655, 0.8788968920707703, 0.8812949657440186, 0.8752997517585754, 0.8857913613319397]
val_accuracy: [0.9233098030090332, 0.9394550919532776, 0.9455096125602722, 0.9394550919532776, 0.9505549669265747, 0.9495459198951721, 0.9505549669265747, 0.9566094875335693, 0.955600380897522, 0.9505549669265747, 0.953582227230072, 0.9596367478370667, 0.9566094875335693]
val_auc_3: [0.9754846096038818, 0.9789407253265381, 0.9796892404556274, 0.9804559350013733, 0.9836093783378601, 0.9838346838951111, 0.9842759966850281, 0.9834205508232117, 0.9842373132705688, 0.9850132465362549, 0.9846832156181335, 0.9854159355163574, 0.9863305687904358]
val_loss: [0.19605767726898193, 0.16290472447872162, 0.150657519698143, 0.1510050892829895, 0.13667097687721252, 0.13001534342765808, 0.13138598203659058, 0.1288541853427887, 0.13225902616977692, 0.13788719475269318, 0.13365112245082855, 0.1304081231355667, 0.129514679312706]
val_precision_3: [0.8775510191917419, 0.9629629850387573, 0.9730639457702637, 0.9230769276618958, 0.9333333373069763, 0.9797979593276978, 0.952531635761261, 0.956250011920929, 0.9708737730979919, 0.9440993666648865, 0.944615364074707, 0.962382435798645, 0.9451219439506531]
val_recall_3: [0.8985074758529663, 0.8537313342094421, 0.8626865744590759, 0.89552241563797, 0.9194029569625854, 0.8686566948890686, 0.8985074758529663, 0.9134328365325928, 0.89552241563797, 0.9074627161026001, 0.9164178967475891, 0.9164178967475891, 0.9253731369972229]
